,DATE,TIME PERIOD,US dollar/Euro (EXR.D.USD.EUR.SP00.A)
1565,2005-01-03,03 Jan 2005,1.3507
1566,2005-01-04,04 Jan 2005,1.3365
1567,2005-01-05,05 Jan 2005,1.3224
1568,2005-01-06,06 Jan 2005,1.3183
1569,2005-01-07,07 Jan 2005,1.32
1570,2005-01-10,10 Jan 2005,1.3103
1571,2005-01-11,11 Jan 2005,1.3143
1572,2005-01-12,12 Jan 2005,1.3139
1573,2005-01-13,13 Jan 2005,1.3232
1574,2005-01-14,14 Jan 2005,1.3091
1575,2005-01-17,17 Jan 2005,1.3085
1576,2005-01-18,18 Jan 2005,1.306
1577,2005-01-19,19 Jan 2005,1.3083
1578,2005-01-20,20 Jan 2005,1.2936
1579,2005-01-21,21 Jan 2005,1.2963
1580,2005-01-24,24 Jan 2005,1.3065
1581,2005-01-25,25 Jan 2005,1.3025
1582,2005-01-26,26 Jan 2005,1.3005
1583,2005-01-27,27 Jan 2005,1.3026
1584,2005-01-28,28 Jan 2005,1.3035
1585,2005-01-31,31 Jan 2005,1.3035
1586,2005-02-01,01 Feb 2005,1.3027
1587,2005-02-02,02 Feb 2005,1.3061
1588,2005-02-03,03 Feb 2005,1.3001
1589,2005-02-04,04 Feb 2005,1.2958
1590,2005-02-07,07 Feb 2005,1.2844
1591,2005-02-08,08 Feb 2005,1.2764
1592,2005-02-09,09 Feb 2005,1.2762
1593,2005-02-10,10 Feb 2005,1.2777
1594,2005-02-11,11 Feb 2005,1.2855
1595,2005-02-14,14 Feb 2005,1.2967
1596,2005-02-15,15 Feb 2005,1.3016
1597,2005-02-16,16 Feb 2005,1.304
1598,2005-02-17,17 Feb 2005,1.3041
1599,2005-02-18,18 Feb 2005,1.3039
1600,2005-02-21,21 Feb 2005,1.3055
1601,2005-02-22,22 Feb 2005,1.3193
1602,2005-02-23,23 Feb 2005,1.3203
1603,2005-02-24,24 Feb 2005,1.326
1604,2005-02-25,25 Feb 2005,1.3165
1605,2005-02-28,28 Feb 2005,1.3257
1606,2005-03-01,01 Mar 2005,1.3216
1607,2005-03-02,02 Mar 2005,1.3101
1608,2005-03-03,03 Mar 2005,1.3144
1609,2005-03-04,04 Mar 2005,1.3115
1610,2005-03-07,07 Mar 2005,1.3197
1611,2005-03-08,08 Mar 2005,1.3246
1612,2005-03-09,09 Mar 2005,1.3346
1613,2005-03-10,10 Mar 2005,1.3409
1614,2005-03-11,11 Mar 2005,1.3416
1615,2005-03-14,14 Mar 2005,1.3372
1616,2005-03-15,15 Mar 2005,1.3383
1617,2005-03-16,16 Mar 2005,1.3373
1618,2005-03-17,17 Mar 2005,1.3378
1619,2005-03-18,18 Mar 2005,1.3279
1620,2005-03-21,21 Mar 2005,1.3199
1621,2005-03-22,22 Mar 2005,1.3175
1622,2005-03-23,23 Mar 2005,1.305
1623,2005-03-24,24 Mar 2005,1.2982
1624,2005-03-25,25 Mar 2005,
1625,2005-03-28,28 Mar 2005,
1626,2005-03-29,29 Mar 2005,1.2926
1627,2005-03-30,30 Mar 2005,1.2943
1628,2005-03-31,31 Mar 2005,1.2964
1629,2005-04-01,01 Apr 2005,1.2959
1630,2005-04-04,04 Apr 2005,1.2883
1631,2005-04-05,05 Apr 2005,1.281
1632,2005-04-06,06 Apr 2005,1.286
1633,2005-04-07,07 Apr 2005,1.2923
1634,2005-04-08,08 Apr 2005,1.2819
1635,2005-04-11,11 Apr 2005,1.2971
1636,2005-04-12,12 Apr 2005,1.2985
1637,2005-04-13,13 Apr 2005,1.2922
1638,2005-04-14,14 Apr 2005,1.282
1639,2005-04-15,15 Apr 2005,1.2868
1640,2005-04-18,18 Apr 2005,1.2967
1641,2005-04-19,19 Apr 2005,1.2996
1642,2005-04-20,20 Apr 2005,1.3049
1643,2005-04-21,21 Apr 2005,1.3058
1644,2005-04-22,22 Apr 2005,1.3077
1645,2005-04-25,25 Apr 2005,1.2966
1646,2005-04-26,26 Apr 2005,1.2981
1647,2005-04-27,27 Apr 2005,1.292
1648,2005-04-28,28 Apr 2005,1.2905
1649,2005-04-29,29 Apr 2005,1.2957
1650,2005-05-02,02 May 2005,1.2863
1651,2005-05-03,03 May 2005,1.2856
1652,2005-05-04,04 May 2005,1.2953
1653,2005-05-05,05 May 2005,1.2954
1654,2005-05-06,06 May 2005,1.2947
1655,2005-05-09,09 May 2005,1.2824
1656,2005-05-10,10 May 2005,1.2854
1657,2005-05-11,11 May 2005,1.2882
1658,2005-05-12,12 May 2005,1.2771
1659,2005-05-13,13 May 2005,1.2635
1660,2005-05-16,16 May 2005,1.2616
1661,2005-05-17,17 May 2005,1.2636
1662,2005-05-18,18 May 2005,1.2621
1663,2005-05-19,19 May 2005,1.2642
1664,2005-05-20,20 May 2005,1.2607
1665,2005-05-23,23 May 2005,1.2548
1666,2005-05-24,24 May 2005,1.2617
1667,2005-05-25,25 May 2005,1.2564
1668,2005-05-26,26 May 2005,1.2523
1669,2005-05-27,27 May 2005,1.2551
1670,2005-05-30,30 May 2005,1.2472
1671,2005-05-31,31 May 2005,1.2331
